0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.21,4.81,2.61,2.01,0.00,0.00,0.00,0.00,0.00,0.00
4.02,3.11,3.62,2.36,0.99,0.00,0.00,0.00,0.00,0.00
0.00,1.85,3.22,3.79,4.17,1.68,0.23,0.00,0.00,0.00
0.00,0.00,2.41,3.49,4.35,3.65,2.70,0.00,0.20,0.00
0.00,0.00,0.00,0.00,0.24,4.07,3.73,0.00,0.30,0.00
0.00,0.00,0.00,0.00,0.00,0.00,3.51,1.73,1.39,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.51,4.03,2.44,1.52
0.00,0.00,0.00,0.00,0.00,0.00,0.18,3.81,3.94,1.95
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,3.41,3.44
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,3.74
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51
