2.91,0.00,0.00,0.00,0.00
5.45,1.77,0.00,0.00,0.00
0.00,4.19,0.00,0.00,0.00
0.00,4.06,0.94,0.00,0.00
0.00,0.07,2.69,0.00,0.00
0.00,0.00,3.07,0.00,0.00
0.00,0.00,2.85,0.00,0.00
0.00,0.00,2.78,1.11,0.00
0.00,0.00,1.13,3.30,0.00
0.00,0.00,0.00,3.50,0.00
0.00,0.00,0.00,2.29,0.00
0.00,0.00,0.00,1.43,0.00
0.00,0.00,0.00,0.50,0.00
0.00,0.00,0.00,0.63,0.00
0.00,0.00,0.00,0.00,2.85
0.00,0.00,0.00,0.00,3.42
0.00,0.00,0.00,0.00,2.95
0.00,0.00,0.00,0.00,2.16
0.00,0.00,0.00,0.00,1.14
0.00,0.00,0.00,0.00,0.63
