2.28,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2.21,2.19,.41,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
.47,2.24,1.84,1.18,.88,.00,.00,.00,.00,.00,.00,.00,.00
.00,.92,1.64,1.98,2.53,.62,.00,.00,.00,.00,.00,.00,.00
.00,.00,.00,.69,2.71,2.21,.00,.00,.00,.00,.00,.00,.00
.00,.00,.00,.00,1.45,2.52,.96,.00,.00,.00,.00,.00,.00
.00,.00,.00,.00,.87,1.36,1.97,.00,.00,.00,.00,.00,.00
.00,.00,.00,.00,.00,.74,2.11,.00,.00,.00,.00,.00,.00
.00,.00,.00,.00,.00,.00,1.36,.00,.00,.00,.00,.00,.00
.00,.00,.00,.00,.00,.00,.95,1.34,.00,.00,.00,.00,.00
.00,.00,.00,.00,.00,.00,.00,1.87,.00,.00,.00,.00,.00
.00,.00,.00,.00,.00,.00,.00,1.86,1.86,.00,.00,.00,.00
.00,.00,.00,.00,.00,.00,.00,.18,3.25,2.51,2.24,.00,.00
.00,.00,.00,.00,.00,.00,.00,.00,2.50,2.38,2.65,1.77,.97
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.82,2.21,1.62
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.50,2.30,1.68
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.60,1.99
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.02,1.59
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.22,1.64
