2.21,1.88,1.85,1.76,.25,.53,.00,.00,.00,.00,.00,.00
2.14,1.36,1.48,2.14,1.67,1.49,.00,.00,.00,.00,.00,.00
.00,.00,.00,1.52,1.95,2.27,.00,.00,.00,.00,.00,.00
.00,.00,.00,.45,1.27,2.26,1.60,.00,.00,.00,.00,.00
.00,.00,.00,.00,.00,1.65,2.03,1.60,.00,.00,.00,.00
.00,.00,.00,.00,.00,.60,1.66,2.03,.71,.00,.00,.00
.00,.00,.00,.00,.00,.00,.00,1.66,1.46,2.14,.80,.00
.00,.00,.00,.00,.00,.00,.00,.00,1.14,2.39,2.06,.00
.00,.00,.00,.00,.00,.00,.00,.00,.00,1.78,2.45,.76
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,2.47,.62
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.81,1.50
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.88,1.84
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.36
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.61
