1.17,1.73,1.44,.31,.00,.00,.00,.00,.00,.00,.00,.00
1.30,2.42,2.50,.75,.81,.40,.31,.00,.00,.00,.00,.00
.00,1.40,1.48,1.98,1.78,.85,1.25,.00,.00,.00,.00,.00
.00,.00,.00,1.06,1.70,1.51,1.66,.62,.00,.00,.00,.00
.00,.00,.00,.36,.36,1.53,1.87,1.38,.19,.00,.00,.00
.00,.00,.00,.00,.00,.04,1.61,1.68,1.12,.15,.00,.00
.00,.00,.00,.00,.00,.00,.00,1.49,1.79,1.15,.68,.00
.00,.00,.00,.00,.00,.00,.00,.00,1.87,1.64,.93,.00
.00,.00,.00,.00,.00,.00,.00,.00,.00,1.63,1.50,.89
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.76,1.69
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.07,1.83
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.80
.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.40
