1.32,0.00,0.00,0.00,0.00,0.00,0.00
1.49,1.41,0.00,0.00,0.00,0.00,0.00
0.54,1.83,1.25,0.00,0.00,0.00,0.00
0.00,1.27,1.94,0.06,0.00,0.00,0.00
0.00,0.00,1.25,1.38,0.00,0.00,0.00
0.00,0.00,0.00,1.37,0.60,0.00,0.00
0.00,0.00,0.00,1.17,1.08,0.00,0.00
0.00,0.00,0.00,0.78,1.74,0.00,0.00
0.00,0.00,0.00,0.00,1.78,0.00,0.00
0.00,0.00,0.00,0.00,1.30,1.40,0.00
0.00,0.00,0.00,0.00,1.10,1.97,0.00
0.00,0.00,0.00,0.00,0.40,2.07,0.00
0.00,0.00,0.00,0.00,0.00,1.92,0.84
0.00,0.00,0.00,0.00,0.00,1.60,1.02
0.00,0.00,0.00,0.00,0.00,1.36,1.46
0.00,0.00,0.00,0.00,0.00,0.88,1.94
0.00,0.00,0.00,0.00,0.00,0.00,1.96
0.00,0.00,0.00,0.00,0.00,0.00,1.80
