3.08,0.60,0.00,0.00,0.00,0.00,0.00,0.00
0.60,2.09,0.80,0.00,0.00,0.00,0.00,0.00
0.00,0.70,6.24,0.00,0.00,0.00,0.00,0.00
0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,3.68,0.00,0.00,0.00,0.00
0.00,0.00,0.00,1.99,3.24,0.00,0.00,0.00
0.00,0.00,0.00,0.00,5.02,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,2.53,0.00,0.00
0.00,0.00,0.00,0.00,0.00,5.02,0.00,0.00
0.00,0.00,0.00,0.00,0.00,2.34,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00
0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00
0.00,0.00,0.00,0.00,0.00,0.00,3.29,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31
0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.13
0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.08
